Actor1CountryCode,Actor2CountryCode
USA,USA
NIC,TWN
NIC,TWN
NIC,TWN
NIC,TWN
AFG,AUS
AFG,AUS
ARE,SRB
AUS,AFG
AUS,AFG
AUS,USA
AUS,USA
AUS,AUS
AUS,USA
AUS,USA
AUT,ESP
AUT,ESP
BEL,ISR
BEL,ISR
BEL,ISR
CAN,ITA
CAN,ITA
CAN,ITA
CAN,ITA
CHE,RUS
CHE,RUS
CHE,UKR
CHE,UKR
CHE,UKR
CHN,NIC
CHN,NIC
CHN,NIC
CHN,TWN
CHN,TWN
CHN,TWN
CHN,TWN
CHN,TWN
CHN,TWN
DEU,EUR
DEU,EUR
ESP,GBR
ESP,GBR
ESP,USA
ESP,USA
EUR,EUR
FRA,FRA
GBR,AUT
GBR,ESP
GBR,ESP
GBR,ESP
GBR,GBR
GBR,GBR
GBR,GBR
GBR,EUR
GBR,JOR
GBR,BGD
GBR,AUT
GBR,AUT
GBR,GBR
GBR,GBR
GBR,GBR
GBR,GBR
GBR,BGD
GBR,IRQ
GBR,IRQ
IDN,JPN
IDN,KOR
EUR,EUR
EUR,EUR
EUR,EUR
EUR,EUR
WST,ITA
WST,ITA
WST,NOR
WST,RUS
WST,RUS
WST,UKR
IND,PAK
IRN,DEU
IRN,DEU
IRN,FRA
IRN,FRA
IRN,IRN
IRN,IRN
IRN,IRN
ISR,BEL
ISR,BEL
ISR,BEL
ISR,GBR
ISR,GBR
ISR,ISR
ISR,ISR
ISR,ISR
ITA,CAN
ITA,CAN
ITA,CAN
ITA,CAN
ITA,WST
ITA,WST
ITA,WST
ITA,UKR
ITA,UKR
ITA,WST
ITA,WST
ITA,WST
JOR,GBR
JPN,IDN
JPN,JPN
JPN,KOR
JPN,KOR
JPN,KOR
JPN,PLW
JPN,TMP
JPN,TMP
JPN,USA
KEN,MCO
KOR,JPN
KOR,JPN
MEX,USA
MEX,USA
USA,RUS
USA,USA
MYS,BGD
MYS,MYS
BGD,GBR
BGD,GBR
NIC,NIC
NIC,TWN
NOR,WST
PLW,JPN
PLW,KOR
PLW,KOR
POL,USA
POL,USA
PSE,GBR
PSE,GBR
PSE,GBR
PSE,GBR
RUS,CHE
RUS,CHE
RUS,RUS
RUS,RUS
RUS,RUS
RUS,UKR
RUS,UKR
RUS,USA
RUS,USA
RUS,WST
RUS,CHE
RUS,CHE
SRB,ARE
SDN,SDN
SYR,SYR
SYR,SYR
THA,CHN
TMP,JPN
TMP,JPN
TMP,KOR
TMP,KOR
TTO,CUB
TTO,CUB
TTO,CYM
TWN,CHN
TWN,CHN
TWN,CHN
TWN,CHN
TWN,NIC
TWN,NIC
TWN,NIC
UKR,CHE
UKR,WST
UKR,ITA
UKR,ITA
UKR,RUS
UKR,RUS
UKR,RUS
UKR,RUS
UKR,RUS
UKR,USA
UKR,USA
UKR,RUS
UKR,RUS
UKR,RUS
USA,AFR
USA,AFR
USA,AFR
USA,AUS
USA,AUS
USA,AUS
USA,AUS
USA,CAN
USA,CAN
USA,CHN
USA,ESP
USA,GBR
USA,GBR
USA,GBR
USA,GBR
USA,IRN
USA,IRN
USA,KOR
USA,KOR
USA,RUS
USA,RUS
USA,UKR
USA,UKR
USA,USA
